Client Version,Data Version,Major Version,Minor Version,Patch Version
Java Edition Combat Test 8c,2707,1,16,2
Java Edition Combat Test 8b,2706,1,16,2
Java Edition Combat Test 7c,2704,1,16,2
Java Edition Combat Test 6,2701,1,16,2
Java Edition 20w51a,2687,1,17,0
Java Edition 20w49a,2685,1,17,0
Java Edition 20w48a,2683,1,17,0
Java Edition 20w46a,2682,1,17,0
Java Edition 20w45a,2681,1,17,0
Java Edition 1.16.4,2584,1,16,4
Java Edition 1.16.4 Release Candidate 1,2583,1,16,4
Java Edition 1.16.4 Pre-release 2,2582,1,16,4
Java Edition 1.16.4 Pre-release 1,2581,1,16,4
Java Edition 1.16.3,2580,1,16,3
Java Edition 1.16.3 Release Candidate 1,2579,1,16,3
Java Edition 1.16.2,2578,1,16,2
Java Edition 1.16.2 Release Candidate 2,2577,1,16,2
Java Edition 1.16.2 Release Candidate 1,2576,1,16,2
Java Edition 1.16.2 Pre-release 3,2575,1,16,2
Java Edition 1.16.2 Pre-release 2,2574,1,16,2
Java Edition 1.16.2 Pre-release 1,2573,1,16,2
Java Edition 20w30a,2572,1,16,2
Java Edition 20w29a,2571,1,16,2
Java Edition 20w28a,2570,1,16,2
Java Edition 20w27a,2569,1,16,2
Java Edition 1.16.1,2567,1,16,1
Java Edition 1.16,2566,1,16,0
Java Edition 1.16 Release Candidate 1,2565,1,16,0
Java Edition 1.16 Pre-release 8,2564,1,16,0
Java Edition 1.16 Pre-release 7,2563,1,16,0
Java Edition 1.16 Pre-release 6,2562,1,16,0
Java Edition 1.16 Pre-release 5,2561,1,16,0
Java Edition 1.16 Pre-release 4,2560,1,16,0
Java Edition 1.16 Pre-release 3,2559,1,16,0
Java Edition 1.16 Pre-release 2,2557,1,16,0
Java Edition 1.16 Pre-release 1,2556,1,16,0
Java Edition 20w22a,2555,1,16,0
Java Edition 20w21a,2554,1,16,0
Java Edition 20w20b,2537,1,16,0
Java Edition 20w20a,2536,1,16,0
Java Edition 20w19a,2534,1,16,0
Java Edition 20w18a,2532,1,16,0
Java Edition 20w17a,2529,1,16,0
Java Edition 20w16a,2526,1,16,0
Java Edition 20w15a,2525,1,16,0
Java Edition 20w14a,2524,1,16,0
Java Edition 20w13b,2521,1,16,0
Java Edition 20w13a,2520,1,16,0
Java Edition 20w12a,2515,1,16,0
Java Edition 20w11a,2513,1,16,0
Java Edition 20w10a,2512,1,16,0
Java Edition 20w09a,2510,1,16,0
Java Edition 20w08a,2507,1,16,0
Java Edition 20w07a,2506,1,16,0
Java Edition Snapshot 20w06a,2504,1,16,0
Java Edition Combat Test 5,2321,1,15,2
Java Edition Combat Test 4,2320,1,15,0
